No.,Broadcaster,Sniffer_Distance,RSSI,Malformed Packet
22224,6,75,-74 dBm,1
22249,6,75,-73 dBm,1
22257,6,75,-73 dBm,1
22286,6,75,-77 dBm,1
22317,6,75,-78 dBm,1
22351,6,75,-80 dBm,1
22367,6,75,-75 dBm,1
22369,6,75,-77 dBm,1
22393,6,75,-73 dBm,1
22459,6,75,-75 dBm,1
22462,6,75,-76 dBm,1
22519,6,75,-75 dBm,1
22539,6,75,-78 dBm,1
22548,6,75,-77 dBm,1
22625,6,75,-74 dBm,1
22654,6,75,-75 dBm,1
22657,6,75,-76 dBm,1
22700,6,75,-75 dBm,1
22704,6,75,-78 dBm,1
22751,6,75,-77 dBm,1
22802,6,75,-77 dBm,1
22906,6,75,-77 dBm,1
22927,6,75,-78 dBm,1
22935,6,75,-75 dBm,1
22954,6,75,-76 dBm,1
22984,6,75,-75 dBm,1
22986,6,75,-76 dBm,1
23028,6,75,-78 dBm,1
23043,6,75,-74 dBm,1
23068,6,75,-74 dBm,1
23080,6,75,-80 dBm,1
23094,6,75,-76 dBm,1
23119,6,75,-80 dBm,1
23207,6,75,-77 dBm,1
23236,6,75,-76 dBm,1
23240,6,75,-75 dBm,1
23248,6,75,-76 dBm,1
23254,6,75,-73 dBm,1
23309,6,75,-76 dBm,1
23317,6,75,-76 dBm,1
23325,6,75,-75 dBm,1
23337,6,75,-74 dBm,1
23368,6,75,-76 dBm,1
23371,6,75,-77 dBm,1
23385,6,75,-76 dBm,1
23411,6,75,-76 dBm,1
23441,6,75,-77 dBm,1
23457,6,75,-72 dBm,1
23511,6,75,-76 dBm,1
23514,6,75,-78 dBm,1
23518,6,75,-75 dBm,1
23560,6,75,-76 dBm,1
23579,6,75,-73 dBm,1
23583,6,75,-75 dBm,1
23590,6,75,-78 dBm,1
23598,6,75,-76 dBm,1
23610,6,75,-77 dBm,1
23614,6,75,-75 dBm,1
23648,6,75,-70 dBm,1
23669,6,75,-76 dBm,1
23713,6,75,-77 dBm,1
23730,6,75,-73 dBm,1
23772,6,75,-76 dBm,1
23802,6,75,-76 dBm,1
23825,6,75,-76 dBm,1
23840,6,75,-76 dBm,1
23855,6,75,-74 dBm,1
23863,6,75,-75 dBm,1
23906,6,75,-76 dBm,1
23910,6,75,-78 dBm,1
23918,6,75,-73 dBm,1
23939,6,75,-75 dBm,1
23957,6,75,-76 dBm,1
23972,6,75,-78 dBm,1
24039,6,75,-78 dBm,1
24059,6,75,-79 dBm,1
24075,6,75,-76 dBm,1
24114,6,75,-75 dBm,1
24163,6,75,-75 dBm,1
24209,6,75,-75 dBm,1
24242,6,75,-80 dBm,1
24274,6,75,-80 dBm,1
24280,6,75,-75 dBm,1
24362,6,75,-74 dBm,1
24423,6,75,-75 dBm,1
24530,6,75,-74 dBm,1
24566,6,75,-76 dBm,1
24575,6,75,-75 dBm,1
24600,6,75,-78 dBm,1
24603,6,75,-75 dBm,1
24655,6,75,-78 dBm,1
24668,6,75,-74 dBm,1
24693,6,75,-78 dBm,1
24883,6,75,-74 dBm,1
24896,6,75,-70 dBm,1
24903,6,75,-74 dBm,1
24974,6,75,-73 dBm,1
24976,6,75,-75 dBm,1
24990,6,75,-79 dBm,1
25002,6,75,-75 dBm,1
25008,6,75,-76 dBm,1
25018,6,75,-75 dBm,1
25034,6,75,-75 dBm,1
25037,6,75,-78 dBm,1
25049,6,75,-76 dBm,1
25056,6,75,-77 dBm,1
25069,6,75,-79 dBm,1
25073,6,75,-76 dBm,1
25114,6,75,-77 dBm,1
25137,6,75,-77 dBm,1
25141,6,75,-79 dBm,1
25148,6,75,-75 dBm,1
25157,6,75,-75 dBm,1
25178,6,75,-77 dBm,1
25228,6,75,-78 dBm,1
25229,6,75,-78 dBm,1
25232,6,75,-74 dBm,1
25234,6,75,-73 dBm,1
25242,6,75,-79 dBm,1
25271,6,75,-79 dBm,1
25279,6,75,-74 dBm,1
25329,6,75,-73 dBm,1
25364,6,75,-75 dBm,1
25396,6,75,-77 dBm,1
25401,6,75,-72 dBm,1
25404,6,75,-77 dBm,1
